angle_deg,raw_x,raw_y,raw_z,ref_x,ref_y,ref_z
0,15815.533142375583,1108.4314036233177,48476.46626311905,15229.907989907948,2599.9769388513396,47026.97894390374
10,14889.660761605785,3826.155046694308,48624.51669975579,14244.411871852668,5304.950648618752,47108.1284074034
20,13503.88112802215,6327.896248827001,48757.0568595933,12803.66065116429,7798.166646329444,47175.006452989874
30,11703.742543937877,8535.60079041287,48871.3521658205,10952.349531748243,10003.962269534726,47225.042984165746
40,9540.37284149374,10380.778675748848,48963.709017742316,8745.777023286706,11854.65697368578,47257.30675449217
50,7082.763101387042,11811.278838150156,49030.00805543911,6251.39023887491,13295.106566456107,47269.805151078304
60,4402.482821754314,12780.722052803563,49069.13208910204,3544.739008502414,14279.778745637246,47262.771893089375
70,1583.2731397020525,13258.57982094712,49078.36038891169,708.4060453899376,14780.631262093659,47236.37115489418
80,-1288.6379501227461,13235.143165143498,49060.29011644777,-2171.240427621248,14782.107909550106,47191.24771977458
90,-4129.40487948152,12706.132599482342,49013.66249473845,-5007.361181513227,14282.68174234997,47129.1692333696
100,-6848.5347552531375,11689.73445108101,48940.380292407935,-7712.858204932025,13299.354596314317,47051.990410306076
110,-9368.131436736388,10216.617192293663,48840.87190517423,-10206.99005645565,11860.812808579494,46961.40429331367
120,-11607.299336689994,8331.541344173354,48722.37556616586,-12412.848232236234,10011.273952792511,46861.12041961028
130,-13498.696100636242,6092.775354961262,48584.82692199046,-14263.035474742099,7807.08854991127,46753.560652051776
140,-14987.069153809358,3566.401036018916,48433.012390259384,-15702.431885959868,5314.570279461343,46641.367216900646
150,-16025.623981202565,830.0159532599347,48271.79258505511,-16686.846645295223,2609.8456012472748,46529.7019152508
160,-16583.494988697355,-2032.0167819550304,48107.205056113045,-17186.13155193298,-224.33773704905641,46420.20618294996
170,-16642.742479991426,-4933.739061977981,47943.28957816976,-17185.58350996519,-3102.3701297187913,46317.1283087776
180,-16203.553967184629,-7788.207505471213,47784.223439585585,-16685.058296996995,-5937.649818671128,46223.35869886802
190,-15276.313692634027,-10507.19595327925,47635.87346453255,-15699.368395000041,-8642.600099220337,46141.948438918
200,-13891.993659718933,-13007.915551805205,47502.396934803386,-14259.057717614682,-11135.890974071208,46075.285432832316
210,-12090.759167700095,-15215.867105297652,47388.77467065639,-12406.913178067127,-13341.675961632262,46024.9306631309
220,-9927.705395833653,-17061.282706372946,47297.23574025614,-10200.483952908513,-15192.296159758314,45993.01480745523
230,-7469.583462770008,-18490.67713849424,47230.9616155416,-7706.186205092393,-16632.294670094423,45980.84466669346
240,-4790.517590866467,-19460.148303791357,47191.65974011032,-4999.778397551182,-17617.648195881608,45987.38982157439
250,-1970.5137356504908,-19939.079942104236,47181.99116462526,-2163.710466927885,-18117.953612395755,46014.251085601594
260,901.5870044494266,-19914.55987594596,47198.8288891633,716.0064812710623,-18119.315548849874,46058.44901468269
270,3741.1504676451555,-19386.496122554305,47247.39536614373,3551.899018146373,-17620.381318354142,46121.294706363566
280,6461.705739641157,-18369.458050885303,47320.15476182273,6258.302034796931,-16636.631140298912,46198.69970599698
290,8979.896542308183,-16897.271541929556,47418.73395662667,8751.883484842752,-15198.497328140389,46288.64127138756
300,11219.109660927415,-15012.540307031035,47537.55594795746,10957.521276293171,-13348.87765998167,46389.466816796
310,13111.698107684859,-12772.208225559993,47675.71272702747,12808.289401116559,-11144.2950510095,46497.16234028299
320,14599.014492514307,-10246.678774314234,47828.00812531941,14247.935922241222,-8652.081616516554,46608.74342322179
330,15639.322116137615,-7510.491905977355,47988.351870817714,15232.16401220217,-5947.58546653415,46721.29185656528
340,16195.567350062995,-4647.860113114748,48153.11425757234,15731.609319257494,-3113.4553070641796,46830.25910775749
350,16255.553930278415,-1745.61303825322,48317.3989615149,15730.517234252384,-235.127400017554,46933.12658895471
